CUMUN,NMUN,anio,ALQM2_LV_25_VC,ALQM2_LV_25_VU,ALQM2_LV_75_VC,ALQM2_LV_75_VU,ALQM2_LV_M_VC,ALQM2_LV_M_VU,ALQTBID12_25_VC,ALQTBID12_25_VU,ALQTBID12_75_VC,ALQTBID12_75_VU,ALQTBID12_M_VC,ALQTBID12_M_VU,BI_ALVHEPCO_TVC,BI_ALVHEPCO_TVU,SLVM2_25_VC,SLVM2_25_VU,SLVM2_75_VC,SLVM2_75_VU,SLVM2_M_VC,SLVM2_M_VU
40001,Abades,2015,,,,,,,,,,,,,0.0,3.0,,,,,,
40001,Abades,2016,,,,,,,,,,,,,1.0,4.0,,,,,,
40001,Abades,2017,,,,,,,,,,,,,0.0,3.0,,,,,,
40001,Abades,2018,,,,,,,,,,,,,0.0,3.0,,,,,,
40001,Abades,2019,,,,,,,,,,,,,0.0,4.0,,,,,,
40001,Abades,2020,,,,,,,,,,,,,1.0,4.0,,,,,,
40001,Abades,2021,,,,,,,,,,,,,1.0,5.0,,,,,,
40001,Abades,2022,,,,,,,,,,,,,2.0,3.0,,,,,,
40001,Abades,2023,,,,,,,,,,,,,3.0,5.0,,,,,,
40002,Adrada de Pirón,2017,,,,,,,,,,,,,0.0,1.0,,,,,,
40002,Adrada de Pirón,2019,,,,,,,,,,,,,0.0,0.0,,,,,,
40002,Adrada de Pirón,2020,,,,,,,,,,,,,0.0,1.0,,,,,,
40002,Adrada de Pirón,2021,,,,,,,,,,,,,0.0,1.0,,,,,,
40002,Adrada de Pirón,2022,,,,,,,,,,,,,0.0,1.0,,,,,,
40002,Adrada de Pirón,2023,,,,,,,,,,,,,0.0,1.0,,,,,,
40003,Adrados,2015,,,,,,,,,,,,,0.0,2.0,,,,,,
40003,Adrados,2016,,,,,,,,,,,,,0.0,2.0,,,,,,
40003,Adrados,2017,,,,,,,,,,,,,0.0,1.0,,,,,,
40003,Adrados,2018,,,,,,,,,,,,,0.0,2.0,,,,,,
40003,Adrados,2019,,,,,,,,,,,,,0.0,2.0,,,,,,
40003,Adrados,2020,,,,,,,,,,,,,0.0,2.0,,,,,,
40003,Adrados,2021,,,,,,,,,,,,,0.0,2.0,,,,,,
40003,Adrados,2022,,,,,,,,,,,,,0.0,1.0,,,,,,
40003,Adrados,2023,,,,,,,,,,,,,0.0,1.0,,,,,,
40004,Aguilafuente,2015,,,,,,,,,,,,,2.0,4.0,,,,,,
40004,Aguilafuente,2016,,,,,,,,,,,,,4.0,5.0,,,,,,
40004,Aguilafuente,2017,,,,,,,,,,,,,5.0,5.0,,,,,,
40004,Aguilafuente,2018,,,,,,,,,,,,,4.0,7.0,,,,,,
40004,Aguilafuente,2019,,,,,,,,,,,,,2.0,6.0,,,,,,
40004,Aguilafuente,2020,,,,,,,,,,,,,3.0,6.0,,,,,,
40004,Aguilafuente,2021,,,,,,,,,,,,,3.0,4.0,,,,,,
40004,Aguilafuente,2022,,,,,,,,,,,,,3.0,6.0,,,,,,
40004,Aguilafuente,2023,,,,,,,,,,,,,6.0,5.0,,,,,,
40005,Alconada de Maderuelo,2018,,,,,,,,,,,,,0.0,1.0,,,,,,
40005,Alconada de Maderuelo,2019,,,,,,,,,,,,,0.0,1.0,,,,,,
40005,Alconada de Maderuelo,2020,,,,,,,,,,,,,0.0,1.0,,,,,,
40005,Alconada de Maderuelo,2021,,,,,,,,,,,,,0.0,1.0,,,,,,
40005,Alconada de Maderuelo,2022,,,,,,,,,,,,,0.0,1.0,,,,,,
40005,Alconada de Maderuelo,2023,,,,,,,,,,,,,0.0,1.0,,,,,,
40007,Aldealengua de Pedraza,2017,,,,,,,,,,,,,0.0,1.0,,,,,,
40007,Aldealengua de Pedraza,2021,,,,,,,,,,,,,0.0,1.0,,,,,,
40007,Aldealengua de Pedraza,2022,,,,,,,,,,,,,0.0,1.0,,,,,,
40008,Aldealengua de Santa María,2018,,,,,,,,,,,,,0.0,1.0,,,,,,
40008,Aldealengua de Santa María,2019,,,,,,,,,,,,,0.0,1.0,,,,,,
40008,Aldealengua de Santa María,2020,,,,,,,,,,,,,0.0,1.0,,,,,,
40008,Aldealengua de Santa María,2021,,,,,,,,,,,,,0.0,1.0,,,,,,
40008,Aldealengua de Santa María,2022,,,,,,,,,,,,,0.0,1.0,,,,,,
