CUMUN,NMUN,anio,ALQM2_LV_25_VC,ALQM2_LV_25_VU,ALQM2_LV_75_VC,ALQM2_LV_75_VU,ALQM2_LV_M_VC,ALQM2_LV_M_VU,ALQTBID12_25_VC,ALQTBID12_25_VU,ALQTBID12_75_VC,ALQTBID12_75_VU,ALQTBID12_M_VC,ALQTBID12_M_VU,BI_ALVHEPCO_TVC,BI_ALVHEPCO_TVU,SLVM2_25_VC,SLVM2_25_VU,SLVM2_75_VC,SLVM2_75_VU,SLVM2_M_VC,SLVM2_M_VU,nombre_join_x,join_key,municipio,Total,nombre_join_y,renta_mensual,porcentaje_esfuerzo
40024,Ayllón,2022.0,2.517857142857143,2.0935290099646418,4.8092165773954445,4.054545454545455,3.193183393610609,2.8481012658227844,251.8631544766016,250.0,349.7609289617486,459.1443194925029,287.41369949494947,370.3314447040498,32.0,31.0,75.5,124.0,109.75,255.0,86.0,165.0,ayllon,ayllón,40024 Ayllón,12081.0,40024 ayllon,1006.75,28.54866645095103
40031,Bernuy de Porreros,2022.0,4.481973434535104,,6.39118411775075,,5.417391304347826,,280.0,,379.58333333333337,,329.7305318138651,,100.0,9.0,61.5,,94.0,,78.0,,bernuy porreros,bernuy porreros,40031 Bernuy de Porreros,13388.0,40031 bernuy porreros,1115.6666666666667,29.554574109399322
40032,Boceguillas,2022.0,3.093869731800766,2.9629629629629632,4.332082523091882,4.205128205128205,3.525795241913927,3.252032520325203,269.1666666666667,350.0,335.0,435.0,300.0,400.0,30.0,19.0,79.75,119.0,87.0,205.0,85.5,144.0,boceguillas,boceguillas,40032 Boceguillas,11275.0,40032 boceguillas,939.5833333333334,31.9290465631929
40040,Cantalejo,2022.0,3.079330608073582,1.754488950276243,4.856937693327441,3.7151821242730336,3.6591651998994217,3.1048551611587105,280.0,265.72970639032815,350.4807692307692,449.4227994227994,320.0,310.83333333333337,128.0,48.0,72.5,145.0,107.5,255.75,92.0,184.0,cantalejo,cantalejo,40040 Cantalejo,12008.666666666666,40040 cantalejo,1000.7222222222222,31.97690556820075
40041,Cantimpalos,2022.0,3.1937893081761004,,6.916208791208791,,5.62192118226601,,250.0,,432.5,,330.0,,14.0,8.0,57.5,,96.25,,76.5,,cantimpalos,cantimpalos,40041 Cantimpalos,13082.0,40041 cantimpalos,1090.1666666666667,30.27060082556184
40043,Carbonero el Mayor,2022.0,2.478448275862069,1.8342713250231863,4.444444444444445,3.1151357983380734,3.4400479720384936,2.444444444444444,300.0,260.7560491020912,382.2625968992248,425.0,350.0,312.5,42.0,25.0,93.25,139.0,125.25,251.5,119.5,165.0,carbonero mayor,carbonero mayor,40043 Carbonero el Mayor,13573.5,40043 carbonero mayor,1131.125,30.942645596198474
40057,Coca,2022.0,3.624277281539953,2.5232824349682663,5.142137803984663,3.8010204081632657,4.4602272727272725,3.4703283081534297,304.46875,300.0,353.75,388.6111111111111,340.49038461538464,332.3675496688741,12.0,32.0,68.75,98.5,86.0,191.0,77.5,150.0,coca,coca,40057 Coca,12483.25,40057 coca,1040.2708333333333,32.73093637782321
40063,Cuéllar,2022.0,3.333333333333333,2.216813372454877,4.782025486250839,3.811965811965812,4.015919031634625,2.9197080291970803,307.16875,250.0,400.0,400.0,356.5912462908012,350.0,312.0,49.0,79.0,110.5,109.0,239.0,92.5,168.0,cuellar,cuéllar,40063 Cuéllar,12349.4,40063 cuellar,1029.1166666666666,34.65022556148165
40076,"Espinar, El",2022.0,3.977852504638219,3.351145299622777,6.104714912280701,5.963565016384757,4.988738738738738,4.726042006366954,316.6666666666667,400.0,450.0,740.2238805970148,380.0,513.5,344.0,140.0,69.0,105.5,98.0,188.5,84.0,138.0,"espinar, el",espinar el,"40076 Espinar, El",13000.857142857143,"40076 espinar, el",1083.404761904762,35.07461046524405
40077,Espirdo,2022.0,4.5852272727272725,2.02412732235204,6.382978723404256,4.138304055799535,5.392876406225921,3.447001689189189,294.6774193548387,431.25,387.6603260869565,577.1666666666666,330.0,500.0,145.0,22.0,56.0,171.5,81.0,268.75,67.0,206.0,espirdo,espirdo,40077 Espirdo,13310.0,40077 espirdo,1109.1666666666667,29.752066115702476
40097,Grajera,2022.0,3.2810902246338567,,5.874369871490647,,4.474030068853353,,250.0,,360.9801912568306,,300.6485849056604,,14.0,9.0,50.5,,121.25,,79.5,,grajera,grajera,40097 Grajera,13761.0,40097 grajera,1146.75,26.21744799700549
40101,Hontanares de Eresma,2022.0,4.338624338624339,2.793507347187701,5.8076552720269605,4.407838040237958,5.09433962264151,3.622881355932203,260.0,391.95410539215686,362.1406986027944,533.8890895953757,286.6666666666667,450.0,17.0,42.0,61.0,130.0,76.0,147.0,75.0,142.5,hontanares eresma,hontanares eresma,40101 Hontanares de Eresma,11930.0,40101 hontanares eresma,994.1666666666666,28.834870075440072
